similarity,matched,missing,percent,length,label
0.38706475422926734,4,7,36.36,750,1
0.05020466411709522,0,10,0.0,750,0
0.42780757837879424,3,7,30.0,711,1
0.00844707040725907,0,10,0.0,711,0
0.24668141597486126,4,8,33.33,678,1
0.017949830268749252,1,10,9.09,678,0
0.3933283487169575,4,6,40.0,766,1
0.0,0,10,0.0,766,0
0.20613329661669721,3,8,27.27,694,1
0.16242921024269247,3,9,25.0,694,0
0.3615937282273534,6,4,60.0,801,1
0.007654144214377658,0,11,0.0,801,0
0.37201434261090943,4,6,40.0,889,1
0.006463584497369082,0,11,0.0,889,0
0.31769893131630567,5,6,45.45,867,1
0.007269395428195973,0,10,0.0,867,0
0.17823317939695515,2,10,16.67,711,1
0.14287986763075558,2,9,18.18,711,0
0.4881041331375316,3,8,27.27,724,1
0.3477890604226726,4,6,40.0,724,0
0.22942931271149747,6,4,60.0,778,1
0.0,0,10,0.0,778,0
0.14050914828021666,2,10,16.67,670,1
0.032485747595814435,0,10,0.0,670,0
0.3933283487169575,4,6,40.0,766,1
0.00887697599927964,0,10,0.0,766,0
0.24668141597486126,4,8,33.33,678,1
0.029701587527842625,1,10,9.09,678,0
0.304725796484779,2,8,20.0,709,1
0.009680751098004356,0,10,0.0,709,0
0.40507422351866423,2,8,20.0,790,1
0.0,0,11,0.0,790,0
0.2557706306397356,4,6,40.0,820,1
0.0,0,10,0.0,820,0
0.25279665376958405,1,11,8.33,652,1
0.10172567093781548,0,10,0.0,652,0
0.2505725781721263,4,6,40.0,675,1
0.06468736370198015,1,9,10.0,675,0
0.22068013632810649,3,7,30.0,708,1
0.03822218177949427,0,11,0.0,708,0
0.3134421365084084,4,6,40.0,719,1
0.09497120679069757,1,10,9.09,719,0
0.3837991400487033,2,9,18.18,726,1
0.008698234128967985,0,10,0.0,726,0
0.2670445348694675,5,5,50.0,850,1
0.008810784041801885,0,10,0.0,850,0
0.21568239707681153,2,8,20.0,682,1
0.04202601875782011,0,11,0.0,682,0
0.4648280576698024,4,7,36.36,764,1
0.018303257322246674,0,10,0.0,764,0
0.18275112263366086,3,8,27.27,687,1
0.021220759313209908,0,11,0.0,687,0
0.17015701090484206,3,7,30.0,709,1
0.018591854059853585,0,10,0.0,709,0
0.25966601393437444,5,5,50.0,814,1
0.04299411083397348,1,10,9.09,814,0
0.3377750953377194,3,7,30.0,796,1
0.015759883642216577,0,11,0.0,796,0
0.45966819688433913,4,7,36.36,682,1
0.009602048493993409,0,10,0.0,682,0
0.3204318851419254,5,6,45.45,863,1
0.029428166319406306,1,11,8.33,863,0
0.17823317939695515,2,10,16.67,711,1
0.036155085208603444,0,10,0.0,711,0
0.3558949888852199,3,8,27.27,761,1
0.0,0,11,0.0,761,0
0.18275112263366086,3,8,27.27,687,1
0.0,0,10,0.0,687,0
0.18275112263366086,3,8,27.27,687,1
0.1796968910406435,3,7,30.0,687,0
0.26060163861723246,4,8,33.33,701,1
0.07083212587286247,0,10,0.0,701,0
0.429630698266268,3,7,30.0,765,1
0.0,0,11,0.0,765,0
0.36546127873768847,4,7,36.36,714,1
0.04169197800969738,0,10,0.0,714,0
0.2705488684357973,4,6,40.0,669,1
0.0,0,11,0.0,669,0
0.37507164583032676,3,7,30.0,823,1
0.0,0,12,0.0,823,0
0.25468560289811804,6,4,60.0,732,1
0.07029211127503088,0,12,0.0,732,0
0.33298316919467724,4,6,40.0,824,1
0.007986962515308515,0,10,0.0,824,0
0.17823317939695515,2,10,16.67,711,1
0.036155085208603444,0,10,0.0,711,0
0.34284769939505266,4,7,36.36,715,1
0.0,0,10,0.0,715,0
0.20149058527186553,3,9,25.0,740,1
0.03949050884531922,1,9,10.0,740,0
0.28546980298057095,3,8,27.27,885,1
0.0,0,10,0.0,885,0
0.42780757837879424,3,7,30.0,711,1
0.0,0,11,0.0,711,0
0.37507164583032676,3,7,30.0,823,1
0.014173693490362372,0,11,0.0,823,0
0.20149058527186553,3,9,25.0,740,1
0.05099691199498013,1,10,9.09,740,0
0.14050914828021666,1,11,8.33,670,1
0.10374268851502941,0,10,0.0,670,0
0.22068013632810649,3,7,30.0,708,1
0.03822218177949427,0,11,0.0,708,0
0.308751332165876,3,8,27.27,687,1
0.0,0,10,0.0,687,0
0.4008202471419942,5,5,50.0,742,1
0.032568289358344285,1,10,9.09,742,0
0.4008202471419942,5,5,50.0,742,1
0.009002446310685183,0,10,0.0,742,0
0.2844529150149605,3,7,30.0,703,1
0.08653988891553398,1,9,10.0,703,0
0.41536205778992386,4,6,40.0,834,1
0.006781170791579172,0,11,0.0,834,0
0.2908774634227437,4,8,33.33,773,1
0.019536787468201203,0,10,0.0,773,0
0.2437218065739133,6,5,54.55,676,1
0.049236377714382044,1,9,10.0,676,0
0.3837991400487033,2,9,18.18,726,1
0.2689437249431076,3,7,30.0,726,0
0.45378715326642366,6,5,54.55,697,1
0.021159848364270702,0,10,0.0,697,0
0.13808639534171246,2,10,16.67,707,1
0.033324755894202,0,10,0.0,707,0
0.2705488684357973,4,6,40.0,669,1
0.019850515867576947,0,10,0.0,669,0
0.20149058527186553,3,9,25.0,740,1
0.05099691199498013,1,10,9.09,740,0
0.3377750953377194,3,7,30.0,796,1
0.016799520548019392,0,10,0.0,796,0
0.20149058527186553,3,9,25.0,740,1
0.05099691199498013,1,10,9.09,740,0
0.22191740195886284,5,5,50.0,796,1
0.0,0,11,0.0,796,0
0.22767764350076938,3,8,27.27,646,1
0.10779203687481206,3,7,30.0,646,0
0.35239126601396137,3,8,27.27,655,1
0.05877324029379616,0,10,0.0,655,0
0.3798935634665981,6,4,60.0,723,1
0.009862760039830604,0,10,0.0,723,0
0.4689472177267744,2,8,20.0,708,1
0.027810807367373368,1,10,9.09,708,0
0.3933283487169575,4,6,40.0,766,1
0.0,0,12,0.0,766,0
0.2901352383508455,5,6,45.45,666,1
0.08085097595720865,0,10,0.0,666,0
0.3445696984482129,3,7,30.0,755,1
0.17692942679000767,3,8,27.27,755,0
0.14050914828021666,2,10,16.67,670,1
0.05146350470906006,1,10,9.09,670,0
