similarity,matched,missing,percent,length,label
0.40507422351866423,2,8,20.0,790,1
0.0,0,11,0.0,790,0
0.31973023256341504,6,5,54.55,807,1
0.04057720340615105,0,10,0.0,807,0
0.45378715326642366,6,5,54.55,697,1
0.021159848364270702,0,10,0.0,697,0
0.22365356822508276,4,8,33.33,684,1
0.10070339414498088,0,10,0.0,684,0
0.3229180174398687,4,6,40.0,691,1
0.05013643159819503,0,10,0.0,691,0
0.34661939427766786,2,8,20.0,762,1
0.008907851189652002,0,10,0.0,762,0
0.13808639534171246,2,10,16.67,707,1
0.05405087987102527,1,10,9.09,707,0
0.3276137823191778,3,7,30.0,834,1
0.016266104295437903,0,10,0.0,834,0
0.2505725781721263,4,6,40.0,675,1
0.019128380012616703,0,11,0.0,675,0
0.2418849572889265,4,6,40.0,746,1
0.09985149073777391,2,8,20.0,746,0
0.2253155932747992,4,8,33.33,819,1
0.062441980175206406,1,10,9.09,819,0
0.43145068061237474,3,8,27.27,904,1
0.0,0,11,0.0,904,0
0.34661939427766786,2,8,20.0,762,1
0.02111328294714739,1,10,9.09,762,0
0.17906490050358762,2,8,20.0,673,1
0.13733339266571085,4,8,33.33,673,0
0.32009748447293707,2,8,20.0,767,1
0.0,0,11,0.0,767,0
0.26060163861723246,4,8,33.33,701,1
0.17260282461430712,1,9,10.0,701,0
0.267379668136681,4,6,40.0,777,1
0.09946032810896774,2,8,20.0,777,0
0.34284769939505266,4,7,36.36,715,1
0.0,0,11,0.0,715,0
0.3798935634665981,6,4,60.0,723,1
0.13817176157217,4,6,40.0,723,0
0.2901352383508455,5,6,45.45,666,1
0.05084065778772153,0,10,0.0,666,0
0.25279665376958405,1,11,8.33,652,1
0.08494874685489319,0,11,0.0,652,0
0.3276137823191778,3,7,30.0,834,1
0.0,0,10,0.0,834,0
0.2901352383508455,5,6,45.45,666,1
0.2690436260508571,4,7,36.36,666,0
0.2901352383508455,5,6,45.45,666,1
0.030907848495483004,0,11,0.0,666,0
0.20341014536982188,3,9,25.0,706,1
0.0,0,10,0.0,706,0
0.37507164583032676,3,7,30.0,823,1
0.0,0,11,0.0,823,0
0.31769893131630567,5,6,45.45,867,1
0.026703699326021547,0,10,0.0,867,0
0.18275112263366086,3,8,27.27,687,1
0.1796968910406435,3,7,30.0,687,0
0.2851107183637229,6,5,54.55,652,1
0.055577735094737596,0,10,0.0,652,0
0.37201434261090943,4,6,40.0,889,1
0.006463584497369082,0,11,0.0,889,0
0.3445696984482129,3,7,30.0,755,1
0.02294520111769611,1,10,9.09,755,0
0.1627788604624365,1,9,10.0,653,1
0.022989510933101493,0,11,0.0,653,0
0.3649831394294773,4,6,40.0,704,1
0.00994426763333619,0,10,0.0,704,0
0.4198660936892194,5,6,45.45,717,1
0.009019701215574187,0,11,0.0,717,0
0.26060163861723246,4,8,33.33,701,1
0.07083212587286247,0,10,0.0,701,0
0.35239126601396137,3,8,27.27,655,1
0.050261347281224625,0,10,0.0,655,0
0.4420962342273568,4,6,40.0,678,1
0.0,0,12,0.0,678,0
0.22365356822508276,4,8,33.33,684,1
0.020695481071702358,1,9,10.0,684,0
0.1627788604624365,1,9,10.0,653,1
0.0792606365340933,0,11,0.0,653,0
0.38706475422926734,4,7,36.36,750,1
0.05020466411709522,0,10,0.0,750,0
0.4131224266926883,3,8,27.27,862,1
0.027511561655923247,2,8,20.0,862,0
0.26668635527127676,4,6,40.0,738,1
0.008777141533311697,0,10,0.0,738,0
0.35239126601396137,3,8,27.27,655,1
0.019754881149440778,0,10,0.0,655,0
0.22333629466646532,4,6,40.0,690,1
0.0,0,10,0.0,690,0
0.22365356822508276,4,8,33.33,684,1
0.09769327279656208,1,10,9.09,684,0
0.26668635527127676,4,6,40.0,738,1
0.10724800544994054,3,9,25.0,738,0
0.22365356822508276,4,8,33.33,684,1
0.1343367591751389,2,9,18.18,684,0
0.267379668136681,4,6,40.0,777,1
0.1160034886666389,3,7,30.0,777,0
0.4689472177267744,2,8,20.0,708,1
0.007691055439601429,0,10,0.0,708,0
0.4420962342273568,4,6,40.0,678,1
0.0,0,11,0.0,678,0
0.304725796484779,2,8,20.0,709,1
0.0,0,10,0.0,709,0
0.21916503562602774,5,6,45.45,716,1
0.011229161492761121,0,10,0.0,716,0
0.32009748447293707,2,8,20.0,767,1
0.0,0,11,0.0,767,0
0.2844529150149605,3,7,30.0,703,1
0.08653988891553398,1,9,10.0,703,0
0.20341014536982188,3,9,25.0,706,1
0.04028777397635919,2,9,18.18,706,0
0.14050914828021666,2,10,16.67,670,1
0.05146350470906006,1,10,9.09,670,0
0.36978726459441064,5,6,45.45,712,1
0.0,0,11,0.0,712,0
0.18275112263366086,3,8,27.27,687,1
0.039275663906599666,0,10,0.0,687,0
0.25279665376958405,1,11,8.33,652,1
0.0709474198139087,3,7,30.0,652,0
0.4198660936892194,4,7,36.36,717,1
0.060085258274684285,3,8,27.27,717,0
0.2901352383508455,5,6,45.45,666,1
0.08085097595720865,0,10,0.0,666,0
0.37338033856333586,5,6,45.45,738,1
0.006378211260377535,0,11,0.0,738,0
0.4689472177267744,2,8,20.0,708,1
0.0,0,11,0.0,708,0
0.13808639534171246,2,10,16.67,707,1
0.05311070572932553,1,10,9.09,707,0
